iq2,q2_low,q2_high,ixb,xb_low,xb_high,it,t_low,t_high,reliable_phi_bins,overlap_phi_bins,born_sum,radiative_sum,mean_c_rad,median_c_rad,min_c_rad,max_c_rad,mean_delta_c
2,2.0,2.5,2,0.15,0.2,4,0.4,0.6,20,20,259.0,1440.0,0.32367055354528,0.3409679280870831,0.16540269935727897,0.49170320305805754,0.09581826034899193
2,2.0,2.5,2,0.15,0.2,5,0.6,1.0,20,20,251.0,1479.0,0.3048820112272089,0.29063880855046753,0.19748079862656945,0.49963542296527413,0.09131955322597406
2,2.0,2.5,2,0.15,0.2,6,1.0,1.5,19,20,146.0,847.0,0.32549112655480683,0.32913466437761574,0.17966298220913463,0.5072431187850728,0.12570683473011582
2,2.0,2.5,2,0.15,0.2,7,1.5,2.0,3,18,61.0,339.0,0.600518549000133,0.6478756025117278,0.4549906692309253,0.6986893752577458,0.27167352820710994
2,2.0,2.5,3,0.2,0.25,0,0.09,0.15,20,20,20674.0,34704.0,1.0195600850082835,1.0332846998359855,0.9166484186392699,1.1198218474322879,0.04011248445443248
2,2.0,2.5,3,0.2,0.25,1,0.15,0.2,20,20,17789.0,30452.0,0.9996090612612395,1.0052164268728574,0.907603820078459,1.0684182401015327,0.04233969340198271
2,2.0,2.5,3,0.2,0.25,2,0.2,0.3,20,20,33838.0,58672.0,0.9858760341436204,0.9903106768174814,0.8666818311741402,1.0821163482291292,0.030177623792028718
2,2.0,2.5,3,0.2,0.25,3,0.3,0.4,20,20,30121.0,52257.0,0.9848405969073137,1.012228280398528,0.875646761354634,1.1183200733702667,0.03199005645351336
2,2.0,2.5,3,0.2,0.25,4,0.4,0.6,20,20,46234.0,78895.0,1.0045160097208239,1.0029752358071298,0.8979845589070591,1.0896358127931978,0.026411961246535907
2,2.0,2.5,3,0.2,0.25,5,0.6,1.0,20,20,51141.0,87761.0,1.002856491071611,1.0317185204927521,0.8530277341101841,1.060557625432267,0.02503217505317735
2,2.0,2.5,3,0.2,0.25,6,1.0,1.5,20,20,27566.0,46506.0,1.0205781506428484,1.0483454647943975,0.8586229009156948,1.0996409417480457,0.034744934095951904
2,2.0,2.5,3,0.2,0.25,7,1.5,2.0,20,20,11871.0,20078.0,1.016651409691654,1.0330423581245158,0.8525390574854339,1.1041815851508432,0.05267477734514451
2,2.0,2.5,4,0.25,0.3,0,0.09,0.15,20,20,32146.0,46053.0,1.1948816134003057,1.2093662548552806,1.0566383167308142,1.3006819441575606,0.038885223765898036
2,2.0,2.5,4,0.25,0.3,1,0.15,0.2,20,20,31301.0,47027.0,1.1370482802806112,1.1438598126597639,1.000664281773715,1.2485531989821879,0.03724103195247555
2,2.0,2.5,4,0.25,0.3,2,0.2,0.3,20,20,63274.0,95097.0,1.1329944521135953,1.1506860466617814,0.9769466650352848,1.2535247432329764,0.026163210798624593
2,2.0,2.5,4,0.25,0.3,3,0.3,0.4,20,20,59207.0,89355.0,1.1272527809444293,1.148067118244225,0.9251683319037217,1.2281449142163285,0.026900908625806647
2,2.0,2.5,4,0.25,0.3,4,0.4,0.6,20,20,94304.0,145030.0,1.1082566362637274,1.1143376328099603,0.9968211037448079,1.205107569400364,0.020884774578642476
2,2.0,2.5,4,0.25,0.3,5,0.6,1.0,20,20,109145.0,170341.0,1.0986251570323877,1.1037663588191,0.9192925864647281,1.2041242424654766,0.019163913545635063
2,2.0,2.5,4,0.25,0.3,6,1.0,1.5,20,20,58902.0,92587.0,1.1004597058093508,1.1421697203156693,0.7939896100773334,1.1944500720726567,0.026055143325735587
2,2.0,2.5,4,0.25,0.3,7,1.5,2.0,20,20,24942.0,38192.0,1.130178005301707,1.169940971513224,0.8617228140456304,1.262762592563803,0.041265834671097505
2,2.0,2.5,5,0.3,0.38,0,0.09,0.15,20,20,12869.0,14475.0,1.522366513449977,1.512636317191244,1.340875705667542,1.6568714555496282,0.08253773626848303
2,2.0,2.5,5,0.3,0.38,1,0.15,0.2,20,20,44774.0,59682.0,1.2804207696386845,1.2887193738259661,1.0929054281455286,1.4501159390345337,0.03587048867635909
2,2.0,2.5,5,0.3,0.38,2,0.2,0.3,20,20,113577.0,164879.0,1.1688759332504735,1.2189749116951245,0.943448559334802,1.27149473464666,0.02028514809761385
2,2.0,2.5,5,0.3,0.38,3,0.3,0.4,20,20,117521.0,170738.0,1.1634677479305595,1.209180676184529,0.8895132952607798,1.2686770112831955,0.01995784643211278
2,2.0,2.5,5,0.3,0.38,4,0.4,0.6,20,20,208389.0,307904.0,1.145035741403988,1.1661097368889286,0.9795654023591001,1.243870572034409,0.014748130102116345
2,2.0,2.5,5,0.3,0.38,5,0.6,1.0,20,20,270159.0,410260.0,1.1174866053352823,1.131221378100601,0.9308485846956166,1.2256157819428164,0.012560289300880958
